order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,region,country
O70952,C0180,2023-09-20,P002,Butter,Food,3,92.22,South,India
O31465,C0080,2023-04-21,P010,Notebook,Stationery,5,22.58,North,India
O61990,C0184,2023-07-23,P005,Mouse,Electronics,1,300.13,West,India
O49529,C0176,2024-09-06,P004,Laptop,Electronics,1,400.15,North,India
O55508,C0137,2024-03-14,P010,Notebook,Stationery,3,43.79,North,India
O65057,C0126,2023-04-19,P006,Keyboard,Electronics,4,480.79,North,India
O67080,C0046,2024-06-18,P008,Shoes,Clothing,3,311.8,South,India
O70931,C0112,2024-08-29,P009,Phone,Electronics,3,167.93,West,India
O46559,C0116,2023-09-07,P004,Laptop,Electronics,4,289.23,North,India
O13761,C0127,2023-11-29,P007,Shirt,Clothing,2,248.9,East,India
O54608,C0072,2024-09-02,P006,Keyboard,Electronics,3,282.34,East,India
O21221,C0062,2024-02-21,P009,Phone,Electronics,4,282.04,South,India
O94659,C0183,2024-05-17,P004,Laptop,Electronics,4,398.54,West,India
O39045,C0104,2024-12-09,P002,Butter,Food,2,160.04,East,India
O72031,C0142,2024-06-27,P010,Notebook,Stationery,3,218.5,East,India
O56112,C0180,2024-04-09,P009,Phone,Electronics,3,160.25,East,India
O35242,C0081,2023-05-03,P004,Laptop,Electronics,5,475.93,North,India
O38361,C0190,2024-05-10,P003,Milk,Food,3,365.05,South,India
O23176,C0050,2023-10-31,P009,Phone,Electronics,2,186.83,East,India
O80010,C0033,2023-10-08,P005,Mouse,Electronics,1,487.4,North,India
O26551,C0164,2024-05-17,P009,Phone,Electronics,1,437.63,East,India
O71524,C0123,2024-03-27,P010,Notebook,Stationery,3,100.34,East,India
O72616,C0030,2023-03-08,P001,Bread,Food,4,250.96,East,India
O29887,C0039,2024-07-30,P010,Notebook,Stationery,3,51.74,North,India
O83147,C0196,2024-03-02,P004,Laptop,Electronics,5,302.1,North,India
O78494,C0098,2024-04-06,P010,Notebook,Stationery,4,155.7,South,India
O50026,C0146,2024-09-27,P010,Notebook,Stationery,1,308.72,West,India
O91987,C0055,2023-09-28,P002,Butter,Food,1,86.96,South,India
O30517,C0001,2024-02-23,P003,Milk,Food,4,347.79,North,India
O14278,C0060,2023-10-23,P008,Shoes,Clothing,3,354.46,East,India
O40595,C0068,2024-10-02,P008,Shoes,Clothing,5,333.98,North,India
O25043,C0140,2023-08-19,P004,Laptop,Electronics,2,455.12,West,India
O17816,C0043,2023-11-11,P003,Milk,Food,5,376.99,North,India
O67560,C0032,2024-04-24,P010,Notebook,Stationery,3,352.87,East,India
O67377,C0021,2024-09-04,P005,Mouse,Electronics,1,445.82,West,India
O13390,C0024,2023-08-23,P006,Keyboard,Electronics,5,297.69,East,India
O85529,C0011,2023-06-29,P001,Bread,Food,4,264.29,East,India
O33788,C0150,2024-03-22,P008,Shoes,Clothing,4,484.84,East,India
O63523,C0086,2023-11-25,P008,Shoes,Clothing,1,430.29,East,India
O74942,C0074,2024-11-09,P006,Keyboard,Electronics,4,408.65,West,India
O69614,C0023,2023-11-19,P009,Phone,Electronics,3,168.4,North,India
O96200,C0139,2024-04-18,P007,Shirt,Clothing,4,36.56,North,India
O91609,C0194,2024-05-25,P009,Phone,Electronics,4,382.4,East,India
O81987,C0034,2023-10-22,P004,Laptop,Electronics,4,441.61,East,India
O13783,C0162,2024-09-15,P008,Shoes,Clothing,2,357.79,North,India
O82384,C0105,2023-04-06,P005,Mouse,Electronics,2,496.21,North,India
O25396,C0166,2023-06-07,P002,Butter,Food,4,467.0,West,India
O64459,C0124,2024-04-28,P005,Mouse,Electronics,2,233.83,East,India
O34983,C0154,2024-06-04,P003,Milk,Food,2,433.37,West,India
O54548,C0130,2023-10-01,P005,Mouse,Electronics,1,148.59,West,India
O29476,C0115,2024-07-05,P005,Mouse,Electronics,4,179.11,West,India
O69682,C0083,2023-07-13,P009,Phone,Electronics,2,290.18,West,India
O15720,C0082,2024-04-29,P004,Laptop,Electronics,4,199.18,West,India
O14852,C0033,2024-05-29,P003,Milk,Food,5,172.68,West,India
O23069,C0135,2024-04-12,P002,Butter,Food,1,364.0,West,India
O19807,C0121,2023-09-29,P007,Shirt,Clothing,3,315.4,South,India
O53065,C0173,2024-06-30,P007,Shirt,Clothing,4,477.53,North,India
O90931,C0018,2023-08-29,P008,Shoes,Clothing,3,498.74,North,India
O22903,C0195,2024-10-10,P002,Butter,Food,1,227.4,West,India
O16028,C0084,2023-02-27,P005,Mouse,Electronics,3,185.65,North,India
O42007,C0136,2024-02-26,P007,Shirt,Clothing,5,344.08,South,India
O32946,C0021,2024-09-16,P003,Milk,Food,4,313.66,South,India
O86435,C0037,2023-08-26,P004,Laptop,Electronics,4,322.57,West,India
O97404,C0003,2024-04-21,P008,Shoes,Clothing,3,342.03,East,India
O67898,C0089,2024-08-24,P003,Milk,Food,3,323.08,North,India
O69878,C0078,2023-07-23,P007,Shirt,Clothing,4,428.13,East,India
O59986,C0147,2024-01-03,P002,Butter,Food,5,154.98,South,India
O96275,C0102,2023-10-09,P005,Mouse,Electronics,1,287.31,North,India
O47512,C0199,2023-08-24,P001,Bread,Food,5,402.95,West,India
O91381,C0065,2024-11-25,P004,Laptop,Electronics,2,317.84,South,India
O67779,C0009,2024-08-16,P001,Bread,Food,3,368.86,East,India
O52823,C0192,2024-03-01,P002,Butter,Food,2,108.39,East,India
O79579,C0129,2023-10-07,P009,Phone,Electronics,2,135.92,East,India
O54396,C0030,2024-04-24,P008,Shoes,Clothing,1,78.97,East,India
O83048,C0094,2023-04-03,P004,Laptop,Electronics,4,16.82,West,India
O69609,C0095,2024-11-19,P009,Phone,Electronics,3,296.43,North,India
O98452,C0060,2024-04-27,P006,Keyboard,Electronics,1,313.58,North,India
O89964,C0057,2024-10-25,P009,Phone,Electronics,1,321.35,East,India
O95097,C0105,2023-04-30,P008,Shoes,Clothing,2,32.22,East,India
O74569,C0030,2023-04-10,P001,Bread,Food,2,444.76,East,India
O69459,C0095,2024-11-17,P003,Milk,Food,5,215.37,West,India
O95841,C0026,2024-05-16,P003,Milk,Food,5,209.98,West,India
O58566,C0056,2024-03-30,P005,Mouse,Electronics,4,475.77,North,India
O99873,C0095,2024-07-11,P006,Keyboard,Electronics,3,39.67,North,India
O26011,C0117,2023-04-04,P005,Mouse,Electronics,2,324.44,South,India
O16629,C0086,2023-09-07,P010,Notebook,Stationery,2,395.62,North,India
O82641,C0054,2024-08-23,P004,Laptop,Electronics,2,408.4,North,India
O29340,C0153,2023-01-03,P004,Laptop,Electronics,3,430.62,East,India
O80807,C0065,2023-06-28,P003,Milk,Food,1,333.92,South,India
O11947,C0092,2023-09-01,P001,Bread,Food,5,168.65,South,India
O16868,C0033,2024-03-07,P003,Milk,Food,5,65.69,East,India
O68756,C0200,2024-01-06,P002,Butter,Food,5,300.9,West,India
O90623,C0012,2024-11-05,P008,Shoes,Clothing,5,157.8,South,India
O72781,C0103,2024-03-12,P001,Bread,Food,1,250.23,North,India
O20589,C0083,2024-09-14,P008,Shoes,Clothing,2,42.18,North,India
O59925,C0153,2024-06-27,P005,Mouse,Electronics,3,232.32,East,India
O22999,C0180,2023-04-28,P010,Notebook,Stationery,5,363.21,West,India
O69186,C0059,2024-02-28,P004,Laptop,Electronics,3,415.44,West,India
O22463,C0081,2024-03-13,P007,Shirt,Clothing,3,335.9,West,India
O72163,C0018,2023-04-04,P006,Keyboard,Electronics,1,55.68,South,India
O27054,C0143,2023-03-03,P002,Butter,Food,5,478.75,East,India
O97819,C0032,2024-02-25,P009,Phone,Electronics,3,438.07,East,India
O47700,C0154,2023-11-16,P007,Shirt,Clothing,3,60.76,North,India
O30280,C0169,2024-05-08,P009,Phone,Electronics,2,425.16,South,India
O25058,C0196,2023-10-13,P006,Keyboard,Electronics,5,120.82,East,India
O89822,C0169,2024-12-11,P007,Shirt,Clothing,3,24.19,North,India
O54541,C0090,2023-01-07,P005,Mouse,Electronics,2,436.23,East,India
O19120,C0037,2024-10-10,P010,Notebook,Stationery,1,54.96,West,India
O59308,C0108,2024-04-09,P009,Phone,Electronics,3,87.13,South,India
O84395,C0153,2023-03-28,P005,Mouse,Electronics,1,86.23,East,India
O98338,C0021,2023-10-06,P010,Notebook,Stationery,4,334.35,North,India
O64287,C0070,2023-08-09,P008,Shoes,Clothing,5,65.77,West,India
O47125,C0174,2024-11-25,P007,Shirt,Clothing,5,248.45,North,India
O38903,C0102,2024-09-05,P005,Mouse,Electronics,1,13.77,North,India
O27987,C0196,2023-09-19,P005,Mouse,Electronics,3,170.78,South,India
O66446,C0045,2023-05-13,P001,Bread,Food,4,270.97,West,India
O19447,C0102,2023-02-13,P004,Laptop,Electronics,4,19.18,East,India
O85465,C0110,2024-08-10,P002,Butter,Food,4,357.65,East,India
O25096,C0104,2023-01-22,P007,Shirt,Clothing,3,94.22,East,India
O57428,C0023,2024-03-23,P010,Notebook,Stationery,1,129.23,West,India
O78676,C0021,2024-02-10,P010,Notebook,Stationery,3,375.44,West,India
O32037,C0020,2024-06-06,P004,Laptop,Electronics,1,270.0,East,India
O56019,C0187,2024-10-22,P004,Laptop,Electronics,2,125.77,East,India
O35856,C0045,2024-09-08,P003,Milk,Food,2,382.51,East,India
O92306,C0127,2024-04-20,P002,Butter,Food,5,382.34,South,India
O92210,C0081,2023-06-04,P008,Shoes,Clothing,4,43.46,East,India
O46002,C0152,2023-02-27,P008,Shoes,Clothing,3,258.6,East,India
O69233,C0010,2023-02-28,P005,Mouse,Electronics,3,417.53,West,India
O90610,C0153,2024-06-03,P002,Butter,Food,4,236.73,North,India
O68947,C0147,2024-10-29,P009,Phone,Electronics,2,167.55,North,India
O18109,C0116,2023-04-16,P008,Shoes,Clothing,3,491.37,South,India
O15130,C0064,2024-12-25,P002,Butter,Food,4,495.58,South,India
O57696,C0096,2023-10-17,P009,Phone,Electronics,4,210.3,South,India
O92691,C0166,2023-12-09,P006,Keyboard,Electronics,1,171.55,North,India
O47243,C0065,2024-11-03,P009,Phone,Electronics,5,437.91,West,India
O86380,C0170,2023-05-25,P006,Keyboard,Electronics,3,162.01,North,India
O87993,C0182,2023-03-28,P007,Shirt,Clothing,3,283.87,South,India
O97833,C0180,2024-12-02,P006,Keyboard,Electronics,5,55.79,South,India
O12389,C0093,2023-11-13,P007,Shirt,Clothing,2,476.07,East,India
O35166,C0058,2023-05-21,P006,Keyboard,Electronics,2,47.81,West,India
O96760,C0087,2024-09-24,P002,Butter,Food,2,302.65,North,India
O33703,C0178,2024-10-01,P003,Milk,Food,2,363.38,South,India
O57749,C0174,2023-09-01,P001,Bread,Food,4,309.19,West,India
O79993,C0062,2023-11-13,P008,Shoes,Clothing,4,452.95,South,India
O98907,C0147,2024-03-27,P004,Laptop,Electronics,4,387.02,East,India
O31241,C0052,2024-09-11,P007,Shirt,Clothing,2,437.77,West,India
O58655,C0142,2023-04-16,P001,Bread,Food,5,427.07,West,India
O31012,C0070,2024-04-05,P005,Mouse,Electronics,5,82.2,North,India
O39102,C0116,2023-12-24,P007,Shirt,Clothing,1,213.3,North,India
O40903,C0099,2023-03-25,P007,Shirt,Clothing,3,120.02,East,India
O95191,C0086,2023-05-30,P006,Keyboard,Electronics,2,28.77,North,India
O71487,C0115,2024-09-22,P008,Shoes,Clothing,1,453.87,South,India
O38266,C0039,2024-07-15,P001,Bread,Food,5,268.61,East,India
O41147,C0078,2023-05-05,P002,Butter,Food,1,126.84,East,India
O18232,C0029,2024-05-26,P010,Notebook,Stationery,5,272.67,West,India
O28818,C0075,2024-03-15,P009,Phone,Electronics,1,311.26,South,India
O34551,C0171,2024-11-15,P004,Laptop,Electronics,1,266.51,West,India
O78951,C0140,2024-06-03,P006,Keyboard,Electronics,5,281.53,North,India
O15706,C0163,2024-02-01,P007,Shirt,Clothing,3,134.29,West,India
O18855,C0089,2023-09-04,P001,Bread,Food,1,388.04,East,India
O15811,C0091,2024-07-13,P006,Keyboard,Electronics,3,408.62,South,India
O72722,C0162,2023-07-06,P003,Milk,Food,2,40.92,West,India
O48462,C0052,2023-02-14,P008,Shoes,Clothing,2,444.04,North,India
O77552,C0102,2024-07-10,P006,Keyboard,Electronics,4,134.12,East,India
O56789,C0200,2023-02-18,P004,Laptop,Electronics,3,143.88,East,India
O62431,C0191,2024-03-26,P006,Keyboard,Electronics,4,176.13,West,India
O75211,C0095,2024-06-15,P003,Milk,Food,3,402.56,West,India
O66440,C0155,2023-07-04,P007,Shirt,Clothing,5,153.95,North,India
O52981,C0170,2023-10-30,P002,Butter,Food,3,228.5,North,India
O68183,C0090,2024-04-02,P007,Shirt,Clothing,1,366.14,South,India
O45986,C0164,2023-02-28,P006,Keyboard,Electronics,1,338.88,West,India
O77251,C0192,2024-11-26,P007,Shirt,Clothing,2,476.87,East,India
O14561,C0033,2023-03-10,P003,Milk,Food,2,391.47,West,India
O60181,C0146,2023-02-03,P006,Keyboard,Electronics,5,85.18,East,India
O58760,C0114,2023-03-20,P008,Shoes,Clothing,5,77.47,East,India
O51207,C0167,2023-10-13,P006,Keyboard,Electronics,2,480.65,West,India
O75410,C0133,2024-02-01,P001,Bread,Food,5,67.7,South,India
O38124,C0157,2023-10-20,P005,Mouse,Electronics,4,108.09,West,India
O69250,C0045,2024-12-31,P003,Milk,Food,4,498.66,North,India
O18511,C0141,2024-07-09,P006,Keyboard,Electronics,3,446.75,East,India
O57381,C0131,2023-08-18,P003,Milk,Food,1,492.71,South,India
O74752,C0007,2024-01-05,P003,Milk,Food,5,290.42,South,India
O90209,C0023,2023-03-09,P008,Shoes,Clothing,3,205.1,South,India
O63665,C0148,2023-03-17,P008,Shoes,Clothing,2,486.47,West,India
O71057,C0175,2024-06-13,P002,Butter,Food,3,72.88,West,India
O26912,C0111,2024-05-29,P009,Phone,Electronics,1,417.38,South,India
O49862,C0043,2023-06-15,P009,Phone,Electronics,3,468.02,South,India
O78012,C0073,2023-03-22,P004,Laptop,Electronics,3,106.19,East,India
O26406,C0161,2023-11-07,P009,Phone,Electronics,5,271.4,East,India
O87569,C0149,2023-06-07,P009,Phone,Electronics,2,332.78,South,India
O83874,C0011,2023-01-30,P010,Notebook,Stationery,1,32.28,East,India
O95344,C0054,2024-08-08,P010,Notebook,Stationery,4,312.87,East,India
O92203,C0140,2023-10-24,P001,Bread,Food,3,246.64,West,India
O69446,C0019,2024-12-06,P007,Shirt,Clothing,1,87.46,East,India
O70875,C0053,2023-12-15,P007,Shirt,Clothing,5,80.4,West,India
O62260,C0034,2024-01-15,P006,Keyboard,Electronics,5,285.21,East,India
O71141,C0032,2023-10-01,P006,Keyboard,Electronics,4,131.48,South,India
O48038,C0099,2024-09-22,P002,Butter,Food,4,131.65,North,India
O85718,C0185,2023-11-17,P003,Milk,Food,2,383.93,East,India
O75373,C0079,2024-05-24,P008,Shoes,Clothing,1,54.12,West,India
O41552,C0056,2024-08-20,P007,Shirt,Clothing,3,33.84,West,India
O88317,C0168,2024-11-19,P005,Mouse,Electronics,4,150.02,West,India
O66482,C0035,2023-09-28,P001,Bread,Food,3,384.29,North,India
O62505,C0014,2024-08-06,P006,Keyboard,Electronics,5,105.38,North,India
O19637,C0099,2024-05-31,P009,Phone,Electronics,4,384.56,East,India
O26864,C0025,2024-02-08,P005,Mouse,Electronics,3,399.5,North,India
O28909,C0051,2024-09-08,P006,Keyboard,Electronics,5,206.68,East,India
O15100,C0036,2024-12-31,P001,Bread,Food,3,403.94,North,India
O29521,C0156,2024-06-11,P009,Phone,Electronics,2,170.7,West,India
O31299,C0101,2024-09-23,P010,Notebook,Stationery,3,300.93,East,India
O83783,C0077,2024-05-01,P009,Phone,Electronics,1,190.5,West,India
O86507,C0079,2024-12-05,P002,Butter,Food,1,302.49,West,India
O16731,C0150,2024-05-06,P005,Mouse,Electronics,2,266.87,South,India
O29369,C0175,2023-09-06,P010,Notebook,Stationery,1,290.56,West,India
O12482,C0113,2023-11-18,P002,Butter,Food,4,84.2,South,India
O75774,C0199,2024-09-18,P004,Laptop,Electronics,4,437.68,West,India
O77984,C0054,2024-07-28,P001,Bread,Food,3,499.08,South,India
O51124,C0045,2024-04-15,P008,Shoes,Clothing,5,177.74,West,India
O89963,C0124,2023-07-16,P006,Keyboard,Electronics,2,146.71,East,India
O49008,C0198,2023-10-23,P005,Mouse,Electronics,2,348.22,South,India
O72888,C0090,2024-07-27,P008,Shoes,Clothing,3,151.02,East,India
O61712,C0089,2023-05-30,P010,Notebook,Stationery,3,30.61,West,India
O67983,C0168,2023-09-20,P002,Butter,Food,4,114.85,East,India
O83664,C0179,2023-10-06,P009,Phone,Electronics,2,63.52,East,India
O41779,C0013,2024-11-16,P010,Notebook,Stationery,5,120.58,South,India
O23133,C0106,2023-12-05,P004,Laptop,Electronics,4,59.27,North,India
O82135,C0041,2024-02-21,P003,Milk,Food,4,243.95,North,India
O52096,C0074,2024-10-23,P004,Laptop,Electronics,1,454.89,East,India
O80143,C0190,2023-02-08,P002,Butter,Food,2,214.76,South,India
O62034,C0127,2023-07-10,P003,Milk,Food,3,439.6,North,India
O84443,C0155,2023-04-20,P001,Bread,Food,3,149.44,East,India
O27589,C0130,2024-04-24,P009,Phone,Electronics,3,104.48,West,India
O31298,C0188,2024-04-14,P002,Butter,Food,3,362.11,East,India
O48669,C0146,2024-11-21,P001,Bread,Food,2,95.99,East,India
O77538,C0084,2023-03-30,P007,Shirt,Clothing,4,337.94,West,India
O72580,C0083,2023-09-12,P003,Milk,Food,1,137.78,South,India
O44995,C0085,2023-11-06,P004,Laptop,Electronics,5,364.21,West,India
O95679,C0093,2024-12-10,P001,Bread,Food,2,40.44,East,India
O50213,C0041,2024-02-20,P002,Butter,Food,5,462.32,West,India
O93717,C0076,2024-01-12,P005,Mouse,Electronics,5,118.22,North,India
O30078,C0117,2024-09-12,P003,Milk,Food,3,213.76,West,India
O80453,C0171,2023-08-12,P009,Phone,Electronics,2,343.37,West,India
O78879,C0115,2024-06-24,P010,Notebook,Stationery,3,48.27,North,India
O18094,C0141,2024-06-01,P010,Notebook,Stationery,2,290.62,North,India
O53007,C0134,2024-03-28,P003,Milk,Food,1,343.34,South,India
O21919,C0131,2024-04-01,P010,Notebook,Stationery,1,232.18,West,India
O69873,C0145,2023-03-01,P009,Phone,Electronics,5,236.57,West,India
O61897,C0066,2023-01-04,P005,Mouse,Electronics,2,293.37,North,India
O55158,C0180,2023-03-07,P001,Bread,Food,5,497.12,West,India
O14159,C0074,2024-02-23,P002,Butter,Food,2,386.8,West,India
O60132,C0115,2024-01-22,P007,Shirt,Clothing,4,49.32,East,India
O95660,C0090,2023-05-02,P009,Phone,Electronics,2,496.49,South,India
O39188,C0001,2023-01-24,P007,Shirt,Clothing,3,236.87,South,India
O79721,C0098,2023-08-24,P009,Phone,Electronics,2,235.71,West,India
O34704,C0186,2023-04-26,P003,Milk,Food,1,406.64,East,India
O41544,C0053,2023-03-10,P007,Shirt,Clothing,1,301.03,North,India
O42077,C0190,2023-02-15,P008,Shoes,Clothing,4,225.09,North,India
O17398,C0036,2024-05-30,P009,Phone,Electronics,3,124.74,South,India
O85690,C0154,2024-11-19,P010,Notebook,Stationery,3,126.08,East,India
O64206,C0077,2023-10-09,P003,Milk,Food,1,282.79,South,India
O92050,C0174,2024-03-13,P010,Notebook,Stationery,5,252.85,South,India
O78742,C0082,2024-12-14,P006,Keyboard,Electronics,4,210.05,West,India
O34101,C0194,2024-07-04,P005,Mouse,Electronics,4,128.07,West,India
O28920,C0119,2023-03-01,P004,Laptop,Electronics,5,212.21,East,India
O60910,C0063,2023-09-19,P007,Shirt,Clothing,2,171.83,South,India
O58637,C0024,2024-07-02,P002,Butter,Food,2,35.25,West,India
O19539,C0049,2024-08-24,P007,Shirt,Clothing,5,116.34,North,India
O49739,C0004,2023-08-05,P004,Laptop,Electronics,2,481.42,East,India
O41797,C0179,2024-09-10,P002,Butter,Food,2,204.35,West,India
O47101,C0098,2024-04-22,P004,Laptop,Electronics,5,327.87,East,India
O57139,C0132,2024-05-24,P005,Mouse,Electronics,4,58.32,East,India
O36624,C0095,2023-11-17,P008,Shoes,Clothing,4,32.4,East,India
O12125,C0067,2024-07-20,P004,Laptop,Electronics,5,293.78,South,India
O29976,C0051,2023-12-04,P007,Shirt,Clothing,2,196.12,East,India
O82173,C0168,2024-12-02,P004,Laptop,Electronics,3,136.09,West,India
O70401,C0044,2023-12-27,P008,Shoes,Clothing,2,78.58,West,India
O34123,C0139,2024-10-19,P009,Phone,Electronics,1,266.73,West,India
O10836,C0106,2023-05-21,P002,Butter,Food,2,43.3,North,India
O38668,C0130,2024-04-11,P003,Milk,Food,3,39.62,North,India
O96413,C0125,2023-01-17,P010,Notebook,Stationery,1,270.78,West,India
O12192,C0136,2023-10-09,P007,Shirt,Clothing,5,488.96,North,India
O33496,C0028,2023-04-09,P001,Bread,Food,5,82.96,West,India
